,T_in,P_in,M_in,P_out,Power_Output,T_out
26,164.14493221638048,20947500.082197167,156.9199262753948,15242287.2,2.62974389,136.459685
27,259.33020453085066,27166752.625296984,121.78599707469849,21841080.4,2.04455236,238.020057
28,80.16791741714933,25226692.674779437,142.44304189596443,19219760.6,1.08603877,69.5038904
29,491.1053582198766,27298818.041139834,79.93347789865464,21904713.6,2.18765517,465.473337
30,35.38360890359152,17570228.524234436,140.08146430653906,9607984.5,1.15067704,26.263362
31,136.89627407830702,29092851.61014781,95.7134798339824,9868347.42,3.77252152,59.908496
32,386.88824695980804,17686133.485283077,151.51953852570733,12963295.5,4.80818956,354.293868
33,187.41161895789097,14710711.787256353,126.17219668611197,11028388.8,2.25215675,161.496921
34,189.82556472927618,25960360.10545088,89.21896203519141,12702634.5,3.49092303,127.130241
35,334.6494733603503,14028895.769720051,66.95106241489933,9322917.02,2.50233585,294.400998
36,174.83126615758732,19989157.30774513,156.83820759598234,16481463.2,1.72984413,157.554405
37,73.93301996678548,23346428.601602532,156.5476016937797,16538428.6,1.34987533,61.3089201
38,217.37574030373918,13694747.535744075,145.4012652006403,11870889.2,1.46391881,204.151343
39,156.77303371415817,21584060.38034665,132.32174263194162,15456702.8,2.21866615,128.321063
40,207.56799833609816,25196348.40014809,144.98365017722867,12136117.8,6.28348418,141.770687
41,338.0091150788788,20789435.832355328,122.99672871743574,12042135.1,6.05436735,283.128442
42,367.4816092290599,29650849.373652015,95.76066204138395,24261477.8,1.93891797,345.975375
43,371.21873788577994,12308492.75488923,108.11472850531601,7866051.14,4.74037725,326.453876
44,450.8292593529113,14317117.157767937,84.78177243537581,13480638.1,0.595327509,444.163999
45,65.49217931096456,28791071.937677637,129.58031065412064,25792515.4,0.41760886,62.275377
46,118.57662902709464,21289479.925906025,146.02567371609626,15849251.5,1.66578585,97.0466557
47,232.57019271439273,26828090.65117809,94.1253755367535,11417647.7,5.1435981,154.181804
48,354.70966424338826,17767683.383770585,82.08632744744742,13009195.7,2.45722408,322.734607
49,116.59620969409754,22431617.262804013,72.34353493023964,15837164.9,0.937638627,92.2982914
50,366.0014215131002,24598002.97525121,54.35527095749062,19984863.1,1.12688232,343.911128
51,101.5460217471772,25432301.912894778,90.41800348194047,22694873.0,0.363544459,95.412871
52,216.05373988302682,13102133.666102866,93.61255579358416,10789838.0,1.27182863,198.255956
53,373.8075274492323,23386511.6819766,115.93569486936671,12149894.6,7.27710253,306.412406
54,452.7718633136148,26546400.456208877,99.70956613093249,12322272.2,8.3772573,369.484646
55,317.1216825235815,16910153.15978019,66.34817301459803,12789983.4,1.65085049,289.252158
56,383.8995446926767,23433831.20502574,63.138464304499884,20597449.6,0.849677803,369.9546
57,157.32044403473813,19882519.76655339,132.15760958701563,14540765.4,2.11883913,130.246699
58,529.8274289648468,21167721.979773924,126.0701123788312,18779196.5,1.98473257,515.576476
59,498.2228378279359,29034456.24860239,117.26236749636766,14650137.4,9.55752695,420.769296
60,417.717490446925,18544534.304397225,117.43308720875321,16884691.9,1.21857703,407.44931
61,259.79937310934133,28154687.63400736,157.54627841317497,22938911.8,2.49363273,239.797908
62,303.2673049504211,29549788.076660465,87.96441612220066,19105440.0,3.22855128,259.469505
63,262.3460915643037,18860070.91050514,143.41356076137714,18228792.9,0.391266254,258.989495
64,211.0566749265989,25682121.16134385,60.860292816390476,17796048.5,1.42029039,177.34394
65,95.21354980377578,20276528.80706589,145.3249553685548,12427538.8,2.08408316,65.4230801
66,526.9976523880541,25720063.704141196,104.55787302791092,8443474.04,13.7790992,403.458114
67,460.25817111311414,22659414.289317884,152.58175591798312,18538948.5,3.60884584,437.551691
68,448.93205045133897,25069516.145208873,145.7012013634445,23046127.1,1.44583313,439.352314
69,326.9987166784366,27816469.15402574,133.59912344579024,18629366.7,4.79765843,285.923793
70,514.2911385247252,27717044.505092777,103.86433634354313,11808327.7,10.5976685,418.143913
71,184.1421512807325,28853877.28239446,149.76642045508552,16992835.9,4.32647138,138.843285
